Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,
2024-08-12,478.105224609375,483.32513011464823,475.5919280328139,475.5919280328139,9076097
2024-08-13,473.65863037109375,481.24684085965686,471.9669924054827,479.4102112541013,7757706
2024-08-14,475.7852783203125,482.3584884064827,473.5619649824716,475.54361575097056,9253598
2024-08-16,485.8867492675781,487.3850748765742,476.2202466282159,478.0085555164629,13137392
2024-08-19,484.7267761230469,492.3149569302798,482.93846727363984,487.91671012482476,10198725
2024-08-20,482.1651306152344,486.61172764412817,481.1018389451326,484.2917729550866,6633171
2024-08-21,488.5450439453125,492.0249908414054,482.40680878828863,483.3251383510858,8474830
2024-08-22,487.723388671875,491.54166909109694,484.72679639330397,490.9133523068748,8364290
2024-08-23,488.93170166015625,490.04337308619125,483.2768211007808,488.20671394743374,7891446
2024-08-26,488.8350524902344,491.05833630744434,485.2584346975139,489.1250357708009,7825037
2024-08-27,483.9051208496094,490.67167259680775,483.3251247998846,490.62332238443304,7954114
2024-08-28,480.7151794433594,485.54843091373226,479.94187100803003,483.71180125495573,7782216
2024-08-29,488.25506591796875,490.76836256441345,480.76352619288554,481.3918429795403,18670632
2024-08-30,485.1617736816406,492.1699882701376,483.5184858918195,485.21012389593943,14947670
2024-09-02,493.03997802734375,495.79496680623095,486.5150884452751,487.1917554611239,15885469
2024-09-03,492.4116516113281,498.74322870796277,490.96167617696034,493.039968399589,12018677
2024-09-04,489.4633483886719,493.0399365290229,483.27679283523935,483.32511354666445,8414967
2024-09-05,494.1516418457031,494.8282793512693,490.1400195277478,491.39668260921513,10898888
2024-09-06,484.96844482421875,494.9249306526528,480.5701684632506,494.9249306526528,13716752
2024-09-09,494.68328857421875,495.5532974397693,483.66348110877874,485.2584481959117,13736044
2024-09-10,496.4715576171875,497.82489160198514,491.78332738351446,494.8282698496586,10911995
2024-09-11,497.1965637207031,502.1748364207896,494.8766383747587,495.8916094010877,14922832
2024-09-12,502.1748352050781,503.1414855134613,491.5900025283514,497.9215502483309,18377550
2024-09-13,496.7132263183594,502.65814918259093,494.92494688747416,502.17482403914613,8825193
2024-09-16,494.05499267578125,499.7582237587493,492.70168810522006,498.69493198891155,7531604
2024-09-17,490.8166809082031,496.42324074641687,489.3667054845452,494.00661504032036,10486015
2024-09-18,490.4300231933594,495.3116247847134,488.25506007340243,490.91334833112757,5429619
2024-09-19,491.29998779296875,497.6315351077344,490.57500010807996,492.9916257243759,13925311
2024-09-20,497.24493408203125,500.0965052453006,491.0583486099196,494.9249497800765,23808194
2024-09-23,499.7098693847656,502.12649506222397,496.4715555771812,498.2598939782906,7804918
2024-09-24,498.0665588378906,500.5315052621945,497.0032671253364,499.75819683491403,6755320
2024-09-25,500.28985595703125,501.98149399891065,495.21494183139305,498.30823462218876,8476223
2024-09-26,505.3164367675781,506.2830870531211,499.75819762570615,500.38654391116955,15489991
2024-09-27,505.26812744140625,510.8746874239907,502.89982238851684,502.89982238851684,17251962
2024-09-30,500.869873046875,506.863057665298,496.90657144476273,503.2381190656139,10531347
2024-10-01,498.9848937988281,502.4164905442214,496.8582513510915,500.86987367295035,5089315
2024-10-03,495.6499328613281,498.50156299756435,491.1550149430481,491.5899898707249,15870147
2024-10-04,486.7567138671875,500.09647530567753,484.8234133978513,492.9916196807263,18228912
2024-10-07,493.18499755859375,497.7765865087185,489.85004220541475,490.0917047817371,16479772
2024-10-08,491.010009765625,495.45657734726376,489.12502996484244,492.9916309922325,9502367
2024-10-09,475.30194091796875,492.79828688702605,474.1902695278187,492.79828688702605,23952459
